Company,Code
드림씨아이에스,A223250
이베스트스팩5호,A349720
케이프이에스제4호,A347140
엔피디,A198080
플레이디,A237820
SK6호스팩,A340350
서울바이오시스,A092190
제이앤티씨,A204270
켄코아에어로스페이스,A274090
레몬,A294140
서남,A294630
신영스팩6호,A344050
위세아이텍,A065370
케이비제20호스팩,A342550
하나금융15호스팩,A341160
한화플러스제1호스팩,A340440
천랩,A311690
피피아이,A062970
메탈라이프,A327260
엔에이치스팩15,A339950
하이제5호스팩,A340120
브릿지바이오,A288330
대신밸런스제8호스팩,A336570
메드팩토,A235980
유안타제6호스팩,A340360
신테카바이오,A226330
제이엘케이,A322510
태웅로직스,A124560
IBKS제12호스팩,A335870
리메드,A302550
SK5호스팩,A337450
IBKS제11호스팩,A335890
코리아센터,A290510
유안타제5호스팩,A336060
노터스,A278650
티움바이오,A321550
씨에스베어링,A297090
우양,A103840
코리아에셋투자증권,A190650
에스제이그룹,A306040
제테마,A216080
라파스,A214260
아이티엠반도체,A084850
미래에셋대우스팩4호,A333430
미디어젠,A279600
하나금융14호스팩,A332710
신한제6호스팩,A333050
티라유텍,A322180
교보9호스팩,A331520
캐리소프트,A317530
케이엔제이,A272110
엔바이오니아,A317870
팜스빌,A318010
라온피플,A300120
아톤,A158430
녹십자웰빙,A234690
대신밸런스제7호스팩,A332290
유진스팩5호,A331380
케이비제19호스팩,A330990
올리패스,A244460
라닉스,A317120
하나금융13호스팩,A320000
한독크린텍,A256150
상상인이안제2호스팩,A329560
네오크레마,A311390
마니커에프앤지,A195500
미래에셋대우스팩3호,A328380
나노브릭,A286750
에스피시스템스,A317830
레이,A228670
그린플러스,A186230
코윈테크,A282880
덕산테코피아,A317330
슈프리마아이디,A317770
한국바이오젠,A318000
세경하이테크,A148150
윌링스,A313760
대모,A317850
에이스토리,A241840
플리토,A300080
이베스트이안스팩1호,A323210
세틀뱅크,A234340
아이스크림에듀,A289010
펌텍코리아,A251970
에이에프더블류,A312610
신영스팩5호,A323280
케이비제18호스팩,A323940
신한제5호스팩,A323230
압타바이오,A293780
까스텔바작,A308100
마이크로디지탈,A305090
DB금융스팩7호,A322780
유진스팩4호,A321260
수젠텍,A253840
컴퍼니케이,A307930
피에스케이,A319660
엔에이치스팩14호,A319400
SNK,A950180
한화에스비아이스팩,A317320
하이제4호스팩,A317240
아모그린텍,A125210
지노믹트리,A228760
케이비17호스팩,A317030
이지케어텍,A099750
유안타제4호스팩,A313750
미래에셋벤처투자,A100790
에코프로비엠,A247540
셀리드,A299660
천보,A278280
이노테라피,A246960
노랑풍선,A104620
웹케시,A053580
비피도,A238200
키움제5호스팩,A311270
엔에이치스팩13호,A310840
유틸렉스,A263050
